Titre,categorie,hashtag,Description - extrait (en),Date,URL,URL image,URL video
"Mio Global, smarter than smart devices",Connected Sports Gear,#wristband #heart-rate-only,"""It's not the number of steps that counts, it's how much heart you put into it"". Mio Global is a connected wristband that gives a score to your daily activity, based on your heart rate only. It claims to be smarter than the other connected devices because the activity tracker is ""more intelligent and makes sense of heart rate data"".",04/11/2016,http://www.sporttechie.com/2016/11/04/fitness/mio-global-earns-15-million-in-funding-introduces-personal-activity-intelligence/,http://www.mioglobal.com/images/2016-slice-header.jpg,
"Whoop, the wristband that tells you what to do",Connected Sports Gear,#wristband #coach,"""Nowadays connected devices tell you a vague version of what’s happened, but they don’t tell you effectively what to do."" Whoop is a smart sport wristband that tracks your data, and then tells you what you need to do, to improve your skills, recover or feel better. It was designed for athletes and military, now available for everyone.",15/11/2016,http://www.sporttechie.com/2016/11/15/gadgets/wearables/whoop-goes-direct-to-consumer-with-performance-optimization-system/,https://cdn.shopify.com/s/files/1/1040/0152/products/WHOOP2_1024x1024.jpg,
Fitbit and NBA 2K17 partner to make gamers healthy,Connected Sports Gear,#gamers #healthy,"The famous basketball video game now includes specific rewards for gamers that achieve Fitbit challenges in real-life. ""By rewarding gamers for healthy lifestyle habits, we hope to help motivate them to achieve their goals in life and in-game.”",17/11/2016,https://www.wareable.com/gaming/nba2k17-and-fitbit-team-up-for-in-game-rewards-if-you-up-your-step-count-3518,http://www.sporttechie.com/wp-content/uploads/2016/11/Screen-Shot-2016-11-17-at-9.16.23-AM.png,
A patch to measure sweat,Connected Sports Gear,#patch #sweat,A research team has designed a flexible patch that sticks on the skin and can be used to measure the wearer’s sweat and determine how his or her body is reacting to exercise.,02/12/2016,http://www.sporttechie.com/2016/12/02/sportsscience/northwestern-university-develops-patch-that-measures-sweat/,http://www.sporttechie.com/wp-content/uploads/2016/12/skin_implant_square21-e1480687896870.png,
Smart headbands to detect head impacts,Connected Sports Gear,#headband #health,"A Michigan startupt created a headband that can detect and differentiate the different degrees of impacts. They can be used in violent games like football, rubgy and soccer, and help healing head injuries.",07/12/2016,http://www.sporttechie.com/2016/12/07/technology/michigan-state-university-venture-fund-startup-develops-smart-headband-to-detect-head-impacts/,http://www.sporttechie.com/wp-content/uploads/2016/12/concussion_headband.jpg,
Virtual Reality to serve Major League Baseball,VR,#baseball #performance,"Trinity VR has created DiamondFX, a VR platform designed to allow hitters to use their own bat when facing a virtual opponent. Hitters feel a small rumble when they make contact via a puck-shaped attachment on the knob of their bat. Statistics like bat speed, launch angle and exit velocity are immediately displayed after contact is made.",21/12/2016,http://www.sporttechie.com/2016/12/21/sports/mlb/how-trinityvrs-diamondfx-platform-could-change-the-game-for-major-league-baseball/,http://s3.amazonaws.com/digitaltrends-uploads-prod/2016/04/Tampa-Bay-Rays.jpg,
Sacramento Kings use Snapchat to communicate with fans,Interactive Experiences,#basketball #snapchat,"""Fans want to know what’s going on behind the scenes. They want the VIP, all-access experience"". The report is clear, 
",,http://www.sporttechie.com/2016/12/23/sports/nba/sacramento-kings-give-fans-all-access-experience-through-snapchat-spectacles/,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
FreeDriver VR,VR,,"FreeDriver VR, launched recently by GymCraft, is a new virtual reality experience including a Kettler bicycle, Oculus goggles and a video game controller.
It seeks to immerse users in a workout experience of mountain biking on the Spanish coast. When users hit a steep slope within the VR world, this difficulty level will be instantly mimic by their exercise bike. The user can play alone or compete with others on different courses.",21/02/2017,http://www.sporttechie.com/2017/02/21/fitness/gymcraft-launches-freedriver-vr-as-virtual-exercise-bike-workout-experience/,,https://www.youtube.com/watch?v=Fdj43vpTeno
‘We Are Baseball’ Experience,VR,,"‘We Are Baseball’ Experience is taking place in March in Scottsdale. This interactive museum experience is a collaboration of baseball and technology. We Are Baseball features virtual reality, an original IMAX movie and specially curated artifacts from The National Baseball Hall of Fame and Museum.",27/02/2017,http://www.sporttechie.com/2017/02/27/sports/mlb/we-are-baseball-experience-highlights-baseball-and-technology/,,https://www.youtube.com/watch?v=LqgiF5P1o1I
Big East Men’s Basketball Tournament in VR,VR,,"For the Big East men’s basketball tournament, fans will be able to witness the action from Madison Square Garden “live” in virtual reality.
After downloading the FOX Sports VR app, users can choose to either watch via a 360-degree viewing experience on their smartphone or with a Samsung Gear VR or cardboard headset.
“This blend of virtual reality provides the promise of the second screen in a way that has not been delivered before,” Michael Davies, FOX Sports Senior Vice President",02/03/2017,http://www.sporttechie.com/2017/03/02/sports/ncaa/ncaabasketball/fox-sports-to-live-stream-big-east-mens-basketball-tournament-in-virtual-reality/,http://www.sporttechie.com/wp-content/uploads/2017/03/Big-East-VR-image-e1488469353361.jpg,
Knockout League's game in VR,VR,,"Vive Studios, the virtual reality content development and publishing initiative from HTC VIVE, has launched the early access version of arcade-style boxing game Knockout League.
Developed by Grab Games, Knockout League is a single-player game built for motion-control and VR, with gameplay that makes players use their body as they move, dodge and fight.",01/03/2017,http://www.sporttechie.com/2017/03/01/virtual-reality/new-vr-game-brings-arcade-style-boxing-to-virtual-reality-in-knockout-league/,https://www.youtube.com/watch?v=HdJIpbdrCD0,
